Sr No,Date (dd/mm/yyyy),Startup Name,Industry Vertical,City  Location,Investors Name,Investment Type,  Amount in USD  ,Remarks
1,9/1/2020,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,200000000.00,
2,13/01/2020,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,8048394.00,
3,9/1/2020,Mamaearth,Ecommerce,Bengaluru,Sequoia Capital India,Series B,18358860.00,
4,2/1/2020,wealthbucket,FinTech,New Delhi,Vinod Khatumal,Pre-series A,3000000.00,
5,2/1/2020,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,1800000.00,
6,13/01/2020,Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000.00,
7,10/1/2020,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,150000000.00,
8,12/12/2019,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.00,
9,6/12/2019,CarDekho,Ecommerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.00,
10,3/12/2019,Dhruva Space,Aerospace,Bengaluru,Mumbai Angels Ravikanth Reddy,Seed,50000000.00,
11,13/12/2019,Rivigo,Technology,Gurgaon,SAIF Partners Spring Canter Investment Ltd.,Series F,20000000.00,
12,17/12/2019,Healthians,B2B-focused foodtech startup,Bengaluru,Paytm NPTK Sabre Partners and Neoplux,Series C,12000000.00,
13,16/12/2019,Licious,Ecommerce,Bengaluru,Vertex Growth Fund,Series E,30000000.00,
14,16/12/2019,InCred,Finance,Mumbai,,Debt Funding,5900000.00,
15,14/12/2019,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,2000000.00,
16,11/12/2019,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.00,
17,20/12/2019,Lenskart.com,Ecommerce,Faridabad,SoftBank Vision Fund,Series G,231000000.00,
19,14/11/2019,Misters,Health and wellness,Gurgaon,Sauce.vc Rainforest Ventures,Series B,486000.00,
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,Prime Venture Partners LetsVenture PS1 Venture and GlobalLogic co-founder Rajul Garg,Seed,1500000.00,
21,17/11/2019,Burger Singh,Food and Beverage,Gurgaon,RB Investments,Venture,0.00,
22,18/11/2019,Healthians,Health and Wellness,Gurgaon,DG Daiwa Ventures DG Incubation,Series B,12000000.00,
23,15/11/2019,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.00,
24,20/11/2019,Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,17411265.00,
25,12/11/2019,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,1300000.00,
27,11/11/2019,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,300000.00,
28,19/11/2019,Digital Mall Asia,Ecommerce,New Delhi,Amour Infrastructure,Seed Funding,220000000.00,
29,18/11/2019,Medikabazaar,Healthcare,Mumbai,Ackermans & van Haaren HealthQuad Rebright Partners Toppan Printing,Series B,15800000.00,
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Bengaluru,Matrix Partners Stellaris Venture Partners Kalaari Capital,Series B,283000000.00,
32,25/11/2019,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.00,
33,4/10/2019,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,45000000.00,
34,2/10/2019,Udaan,B2B,Bengaluru,Altimeter Capital DST Global,Series D,585000000.00,
35,21/10/2019,The Man Company,Consumer Goods,Gurgaon,Ayushmann Khurana,Corporate Round,0.00,
36,5/9/2019,FPL Technologies,FinTech,Pune,Matrix Partners India Sequoia India,Maiden Round,4500000.00,
37,4/9/2019,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,3300000.00,
38,4/9/2019,Digital F5,Advertising Marketing,Mumbai,TIW Private Equity,Private Equity Round,6000000.00,
39,4/9/2019,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.00,
41,4/9/2019,Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,1000000.00,
42,4/9/2019,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,10000000.00,
44,3/9/2019,Vyapar App,Accounting,Bengaluru,India Quotient Axilor Ventures,Series A,5000000.00,
45,1/8/2019,CarDekho,Ecommerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.00,nan
46,1/8/2019,Progcap,Finance,New Delhi,Sequoia India,Series A,5000000.00,nan
47,1/8/2019,MyPetrolPump,Retail,Bengaluru,,Seed Funding Round,1600000.00,nan
48,1/8/2019,Alteria Capital,Finance,Mumbai,Azim Premji Binny Bansal,Single Venture,140000000.00,nan
49,1/8/2019,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.00,nan
50,12/8/2019,Meesho,Ecommerce,Bengaluru,Naspers,Series D,125000000.00,nan
51,13/08/2019,Cars24,Ecommerce,Gurgaon,MS Dhoni,Series D,11000000.00,nan
54,23/08/2019,Lo! Foods,Consumer Goods,Bengaluru,Rashmi Daga (founder FreshMenu) Raveen Sastry (co-founder Myntra) and Mitesh Shah (finance chief BookMyShow),Seed Round,500000.00,nan
56,22/08/2019,INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,15000000.00,nan
57,21/08/2019,HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series C,6590000.00,nan
58,23/08/2019,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,1000000.00,nan
59,19/08/2019,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,0.00,nan
60,19/08/2019,Grofers,Ecommerce,Gurgaon,Softbank Vision Fund,Series F,70000000.00,nan
61,27/08/2019,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,3900000000.00,nan
62,2/7/2019,RenewBuy,Finance,Gurgaon,Lok Capital IIFL Wealth,Series B,19000000.00,nan
64,1/7/2019,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,145000.00,nan
65,3/7/2019,Ola Cabs,Transport,Bengaluru,DIG Investment Ab Deshe Holdings Samih Toukan and Hussam Khoury,Series J,1000000.00,nan
66,1/7/2019,Uniphore,Artificial Intelligence,Chennai,March Capital Partners,Series C,38080000.00,nan
67,4/7/2019,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,500000.00,nan
71,10/7/2019,Indus OS,Tech,Mumbai,Ventureast,Series B,5750000.00,nan
72,10/7/2019,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,2500000.00,nan
73,9/7/2019,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,1000000.00,nan
75,5/6/2019,NoBroker,Ecommerce,Bengaluru,General Atlantic,Series C,51000000.00,nan
76,4/6/2019,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,10000000.00,nan
77,3/6/2019,FabHotels,Ecommerce,Gurgaon,Goldman Sachs Accel Partners and Qualcomm,,4889975.54,nan
78,3/6/2019,Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,9000000.00,nan
79,4/6/2019,BharatPe,Finance,New Delhi,Insight Partners,Series B,75000000.00,nan
80,4/6/2019,Recykal,Waste Management Service,Hyderabad,Triton Investment Advisors Pidilite Industries director Ajay Parekh,pre-Series A,26000000.00,nan
81,3/6/2019,Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.00,nan
83,6/6/2019,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,26000000.00,nan
84,6/6/2019,Pratilipi,Digital Media,Bengaluru,Qiming Venture Partners,Series B,15109500.00,nan
85,10/6/2019,Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,430200.00,nan
86,10/6/2019,OkCredit,FinTech,Gurgaon,Tiger Global Management,Series A,15500000.00,nan
88,8/6/2019,Vogo Automotive Pvt. Ltd.,Transportation,Bengaluru,Alteria Capital,Debt Funding,3584000.00,nan
89,4/6/2019,Leegality,Services,Mumbai,Mumbai Angels,Series A,3400000.00,nan
90,6/5/2019,Ola Electric,Transport,Bengaluru,Tata Sons,Series A,0.00,nan
91,6/5/2019,Saahas Zero Waste,Waste Management Service,Bengaluru,C4D Partners,Venture - Series Unknown,868600.00,nan
92,5/5/2019,StyleDotMe,Ecommerce,New Delhi,Indian Angel Network and other angel investors Innov8 founder Ritesh Malik Josh Talks founders Supriya Paul and Shobha Banga and former Hero Corporate president Rohit Chanana,Bridge Round,0.00,nan
93,1/5/2019,BlackBuck,Transport,Bengaluru,Goldman Sachs Investment Partners and Silicon Valley-based Accel Wellington Sequoia Capital B Capital LightStreet Sands Capital and International Finance Corporation,Series D,150000000.00,nan
94,2/5/2019,Zenoti,Saas,Hyderabad,Tiger Global Management,Series C,50000000.00,nan
95,28/05/2019,Ather Energy,Automobile,Bengaluru,Sachin Bansal,Series C,51000000.00,nan
96,28/05/2019,FreshVnF,Agtech,Mumbai,Equanimity Ventures,Seed Round,140000000.00,nan
97,30/05/2019,GlowRoad,Ecommerce,Bengaluru,Korea Investment Partners Vertex Ventures,Series B,11500000.00,nan
98,31/05/2019,Bira91,Food and Beverage,New Delhi,Sixth Sense Ventures,Series B,5600000.00,nan
99,16/04/2019,Kuvera,Finance,Bengaluru,Eight Roads,Series A,45000000.00,nan
100,12/4/2019,Medlife,Ecommerce,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.00,nan
101,10/4/2019,Kabadiwala,Ecommerce,Bhopal,Unilever Beehive Capital Advisor ABCOM Investments Parekh Marine Transport,Private Equity,430665.00,nan
102,13/04/2019,Tripoto,Social Media,New Delhi,Orchid India Hornbill Orchid India Fund Chiratae Ventures (formerly IDG Ventures) 3one4 Capital Lasmer NV,Series B,3591375.00,nan
103,12/4/2019,Azah,Health and Wellness,Gurgaon,Unnamed angel investors,Seed Funding,200000.00,nan
104,11/4/2019,Setu,Fintech,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.00,nan
105,10/4/2019,Toppr,Edtech,Mumbai,Milestone,Debt and Preference capital,6320820.00,nan
106,10/4/2019,Craftsvilla,Ecommerce,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.00,nan
107,10/4/2019,Unacademy,Edtech,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.00,nan
108,11/4/2019,CleverTap,SaaS,Mumbai,Sequoia India Tiger Global Management Accel Partners,Series B,26000000.00,nan
109,19/04/2019,My Healthcare,Ecommerce,Bengaluru,Sixth Sense Ventures,Series A,3000000.00,nan
110,19/04/2019,KrazyBee,Ecommerce,Bengaluru,BAC Acquisitions Unifi AIF BRD Securities Northern R Capital,Debt,14342000.00,
111,17/04/2019,Shuttl,Transportation,Gurgaon,New Atlantic Ventures,Venture Round,5000000.00,nan
112,17/04/2019,Increff,Technology,Bengaluru,021 Capita Binny Bansal,Series A,3000000.00,nan
113,1/2/2019,FleetX,AI,Gurgaon,India Quotient and LetsVentures Angel Fund,Pre Series A,0.00,nan
115,13/02/2019,NanoClean Global,Nanotechnology,New Delhi,LetsVenture PitchRight Venture 91SpringBoard AL Nour International Holdings and Mark V Investments,Series A,600000.00,nan
116,14/02/2018,OyoRooms,Hospitality,Gurgaon,DiDi Chuxing,Equity,100000000.00,nan
117,3/1/2019,CarDekho,Automobile,Jaipur,Sequoia India Hillhouse Capital Alphabets growth investment arm Capital G and Axis Bank,Series C,110000000.00,nan
119,4/1/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,MASSIF a Dutch government fund,Debt-Funding,5000000.00,nan
120,4/12/2018,Manch,Social Media,New Delhi,Stellaris Venture Partners,Seed Funding,700000.00,nan
121,1/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.00,nan
122,2/12/2018,Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,800000.00,nan
123,2/12/2018,Career Anna,Online Education,Gurgaon,Individual Investors,Pre-Series A,572000.00,nan
124,4/12/2018,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.00,nan
125,6/12/2018,ShopKirana,B2B,Indore,Info Edge AET Fund Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,Seed Funding,2000000.00,nan
126,6/12/2018,BuildSupply,SaaS Ecommerce,Gurgaon,Venture Highway GREE Ventures Space Matrix Individual Investors,Series A,3500000.00,nan
127,1/11/2018,GoDesi,Food and Beverage,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.00,nan
128,3/11/2018,Veritas Finance Ltd.,NBFC,Chennai,Norwest Venture Partners CDC Group the UKs Development Finance Institution and P Surendra Pai,Series D,27799000.00,nan
129,6/11/2018,Meesho,Ecommerce,Bengaluru,Shunwei Capital DST Partners and RPS Ventures,Series C,50000000.00,nan
130,8/11/2018,Mobile Premier League,Gaming,Bengaluru,0,Series A,500000.00,nan
131,8/11/2018,A&R Bon Vivants,Food,Jaipur,RB Investments Singapore,Equity,1000000.00,nan
132,12/11/2018,Blackbuck,Food Tech,Bengaluru,Tiger Global,Series A,1000000.00,nan
133,12/11/2018,MilkBAsket,Food,New Delhi,Mayfield Fund,Series B,1300000.00,nan
134,13/11/2018,DriveU,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.00,nan
135,14/11/2018,CleanseCar,Services,Bengaluru,Venture Catalysts,Seed/ Angel Funding,500000.00,nan
137,20/11/2018,HealthifyMe,Health and Wellness,Bengaluru,Sistema Asia Fund VC Samsung NEXT Chiratae Ventures Inventus Capital Blume Ventures and Innoven Capital.,Series B (Extension),6000000.00,nan
138,21/11/2018,Genius Corner,Education,Noida,Individual investors,Seed Funding,278000.00,nan
139,22/11/2018,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.00,nan
140,22/11/2018,Skillbox,Social Network,Gurgaon,Individual investors,Seed Funding,0.00,nan
141,23/11/2018,Signzy,Financial Tech,Mumbai,Stellaris Venture Partners and Kalaari Capital Rajan Anandan from Google Dilip Khandwelwal from SAP Labs India and Amrish Rau from PayU India,Series A,3400000.00,nan
144,25/11/2018,Roposo,Social Media,New Delhi,Bertelsmann India Investments,Series B,1700000.00,nan
145,1/10/2018,Northmist,Fashion,New Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.00,
146,2/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,Cooperative Oikocredit Caspian and Hivos-Triodos Fund,Seed/ Angel Funding,11000000.00,nan
147,4/10/2018,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,8200000.00,nan
148,5/10/2018,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.00,nan
149,11/10/2018,Innov8,Real Estate,New Delhi,Credence Family Office,Pre-Series A,4000000.00,nan
150,12/10/2018,Blackbuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,14680000.00,nan
151,12/10/2018,LetsTransport,Logistics Tech,Bengaluru,Fosun International,Series C,12000000.00,nan
152,1/9/2018,Netmeds,Consumer Internet,Chennai,Sistema Asia Fund Sistema JSFC and Tanncam Investment,Private Equity,35000000.00,nan
153,3/9/2018,Udaan,B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners global fund.,Private Equity,225000000.00,nan
154,3/9/2018,Daily hunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,6390000.00,nan
155,4/9/2018,3HCare,Healthcare,New Delhi,N/A,Seed / Angel Funding,1000000.00,nan
156,4/9/2018,HappyGoEasy,Consumer Internet,Gurgaon,Korea Investment Partners (KIP) Samsung and China-based CITIC Capital and others,Private Equity,0.00,
157,5/9/2018,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000.00,nan
158,5/9/2018,Mad Street Den,Technology,Chennai,KDDI,Private Equity,0.00,
159,6/9/2018,Dream11,Consumer Internet,Mumbai,Tencent Kalaari Capital and Private equity firm Multiples Alternate Asset Management,Private Equity,100000000.00,nan
160,10/9/2018,MamaEarth,Healthcare,Gurgaon,Stellaris Ventures & Others,Private Equity,4000000.00,nan
161,11/9/2018,AutoGrid,Technology,Bengaluru,CLP Holdings Group Innogy \\xc3\\x98rstead and Tenaska,Private Equity,32000000.00,nan
162,11/9/2018,Pharmeasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,5500000.00,nan
163,11/9/2018,Upwards,Fin-Tech,Mumbai,Shunwei CapitalQuotient Mayfield & Others,Private Equity,5000000.00,nan
164,12/9/2018,Kissht,Fin-Tech,Mumbai,Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund Fosun RZ Capital Ventureast and Endiya Partners.\\n\\n,Private Equity,30000000.00,nan
165,1/8/2018,dishq,Food-Tech,Bengaluru,Farm To Fork Arts Alliance The Syndicate Fund Sven Hensen Zeroth and Artesian Venture Partners,Seed/ Angel Funding,400000.00,nan
166,1/8/2018,HealthFin,Fice,Pune,Axilor Sprout Venture Partners and others,Seed/ Angel Funding,0.00,
167,2/8/2018,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.00,nan
168,3/8/2018,ZiffyHomes,Consumer Internet,Gurgaon,Y Combinator,Private Equity,120000.00,nan
169,7/8/2018,My OmNamo,Consumer Internet,Mumbai,N/A,Seed/ Angel Funding,1000000.00,nan
170,7/8/2018,ShopX,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.00,nan
171,7/8/2018,MakeMyTrip,Consumer Internet,Gurgaon,MakeMyTrip Limited,Private Equity,10000000.00,nan
172,8/8/2018,Hansel io,Consumer Internet,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.00,nan
173,8/8/2018,Metro Bikes,Consumer Internet,Bengaluru,Sequoia Capital India Advisors Accel Partners and G Raghunandan,Private Equity,12200000.00,nan
174,8/8/2018,Phone Pe,Consumer Internet,Bengaluru,Flipkart,Private Equity,66000000.00,nan
175,9/8/2018,quizizz,Ed-Tech,Bengaluru,Nexus Venture Partners Prime Venture Partners and Others,Seed/ Angel Funding,3000000.00,nan
176,9/8/2018,Happy EMI,Fin-Tech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.00,nan
177,13/08/2018,Inthree,Consumer Internet,Chennai,Ventureast Orios Venture Partners and the IAN Fund,Seed/ Angel Funding,4000000.00,nan
178,13/08/2018,Observe AI,Technology,Bengaluru,Nexus Venture Partners MGV Liquid 2 Ventures Hack VC Emergent Ventures and Y Combinator,Private Equity,8000000.00,nan
179,16/08/2018,Enakshi,Consumer Internet,Ahmadabad,N/A,Seed/ Angel Funding,114811.00,nan
180,17/08/2018,EazyDiner,Consumer Internet,Gurgaon,Denlow Investment Trust and Beenext,Private Equity,5850000.00,nan
181,20/08/2018,Finzy,Finance,Bengaluru,N/A,Seed / Angel Funding,1000000.00,nan
182,20/08/2018,RawPressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,4800000.00,nan
183,22/08/2018,Pi Ventures,Technology,Bengaluru,CDC Group plc,Private Equity,6000000.00,nan
184,22/08/2018,Revv,Consumer Internet,Gurgaon,Hyundai Edelweiss and Beenext Dream Incubator Sunjay Kapoor and Telama Investment,Private Equity,14270000.00,nan
185,26/08/2018,ZestMoney,Consumer Internet,Bengaluru,XiaomiPayU Ribbit Capital and Omidyar Network,Private Equity,13400000.00,nan
186,26/08/2018,Shubh Loans,Fin-Tech,Bengaluru,Saama Capital SRI Capital Beenext and Pravega Ventures,Private Equity,4200000.00,nan
187,27/08/2018,MyUpchar,Healthcare,New Delhi,Nexus Venture Partners Omidyar Network and Shunwei Capital,Private Equity,5000000.00,nan
188,28/08/2018,Narvar,IT,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.00,nan
189,30/08/2018,True North,Finance,Mumbai,N/A,Private Equity,600000000.00,nan
190,1/7/2018,Leena AI,Technology,Gurgaon,Y Combinator,Seed/ Angel Funding,0.00,
191,2/7/2018,Biryani By Kilo,Consumer Internet,Gurgaon,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.00,nan
192,4/7/2018,Anchanto,IT,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.00,nan
193,05/072018,Loan Tap,Consumer Internet,Mumbai,Shunwei Capital Tuscan Ventures Ashish Goenka VC firms India Quotient and Kae Capital,Private Equity,6250000.00,nan
194,6/7/2018,PolicyBazaar,Consumer Internet,Gurgaon,Info Edge (India) Ltd and Temasek,Private Equity,27700000.00,nan
195,9/7/2018,zippserv,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.00,nan
196,9/7/2018,Groww,Consumer Internet,Bengaluru,Insignia Ventures Partners Lightbridge Partners & Kairos,Seed/ Angel Funding,1100000.00,nan
197,10/7/2018,Avenue Growth,Consumer Internet,Gurgaon,Avtar Monga chief operating office at IDFC Bank Aditya Malik & Others,Seed/ Angel Funding,437000.00,nan
198,10/7/2018,iNICU,Healthcare,New Delhi,Venture Catalysts,Seed/ Angel Funding,0.00,
199,10/7/2018,Kinara Capital,Finance,Bengaluru,ResponsAbility,Private Equity,5000000.00,nan
200,10/7/2018,Shop 101,Consumer Internet,Mumbai,Stellaris Venture Partners Vy Capital Raghunandan G and Ramakant Sharma,Private Equity,5000000.00,nan
201,11/7/2018,Sambandh,Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.00,nan
202,12/7/2018,19th mile,IT,Gurgaon,Rishi Vasudev Excelsior Investments Ritesh Vohra Praveer Kumar Prashant Gupta and Others,Seed/ Angel Funding,180000.00,nan
203,12/7/2018,5th Vital,Healthcare,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,500000.00,nan
204,13/07/2018,MEngage,Healthcare,Jaipur,Siddharth Agarwal Mahavir Sharma Amit Singal 100 Co-founders Lab and others.,Seed/ Angel Funding,175000.00,nan
205,17/07/2018,Ofbusiness,Finance,Gurgaon,Creation Investments Falcon Edge Matrix Partners India and Zodius Capital,Private Equity,29000000.00,nan
206,17/07/2018,Cars24,Consumer Internet,Gurgaon,Kingsway FCI Fund KCK Global & Others,Private Equity,49700000.00,nan
207,18/07/2018,The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,1500000.00,nan
208,19/07/2018,Book My Show,Consumer Internet,Mumbai,TPG Growth The Rise Fund & Others,Private Equity,100000000.00,nan
209,20/07/2018,HousingMan,Consumer Internet,Bengaluru,N/A,Seed/ Angel Funding,1500000.00,nan
210,21/07/2018,PaySense,Consumer Internet,Mumbai,PayU & Others,Private Equity,18000000.00,nan
211,23/07/2018,Yulu Bikes,Technology,Bengaluru,N/A,Seed/ Angel Funding,0.00,
212,23/07/2018,VTION,Technology,Gurgaon,AngelList Rahul Khanna Rajeev Arora and Ram Ramsundar.,Seed/ Angel Funding,280000.00,nan
213,23/07/2018,Log9 Materials,Technology,Bengaluru,Metaform Ventures Hemant Luthra Micro venture capital firm GEMS Partners and Others,Seed/ Angel Funding,436000.00,nan
214,24/07/2018,kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed/ Angel Funding,180000.00,nan
215,24/07/2018,Digit,Consumer Internet,Pune,Fairfax,Private Equity,45000000.00,nan
216,25/07/2018,Black Soil,Finance,Mumbai,Allcargo Logistics Navneet Education and Mahavir Agency,Private Equity,17000000.00,nan
217,25/07/2018,Trell,Consumer Internet,Bengaluru,BeeNext  WEH Ventures and Sprout Ventures,Seed/ Angel Funding,1250000.00,nan
218,25/07/2018,iqlect,Technology,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,2500000.00,nan
219,26/07/2018,Entropik,IT,Bengaluru,Bharat Innovation IDFC-Parampara Capital Arthavida Ventures Jitendra Gupta & Others,Seed/ Angel Funding,1100000.00,nan
220,26/07/2018,Bitla Software,Technology,Bengaluru,MakeMyTrip,Private Equity,0.00,
221,26/07/2018,TheCapitalNet,Fin-Tech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.00,nan
222,30/07/2018,Shuttl,Consumer Internet,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.00,nan
223,30/07/2018,Cure Fit,Consumer Internet,Bengaluru,IDG Ventures Accel Partners Kalaari Capital and Others,Private Equity,120000000.00,nan
224,31/07/2018,Five Star Group,Fin-Tech,Chennai,TPG Norwest Venture Partners Sequoia Capital & Matrix Partners,Private Equity,100000000.00,nan
225,31/07/2018,Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/ Angel Funding,5000000.00,nan
226,1/6/2018,CoinTribe,Finance,Gurgaon,Sabre Partners Puneet Dalmia & Others,Private Equity,10000000.00,nan
227,4/6/2018,Digiconectt,Technology,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,125000.00,nan
229,5/6/2018,Crowdera,Fice,Nagpur,Anil Advani Pramod Jain Amrendra Reddy and Manish Satnaliwala.,Seed/ Angel Funding,0.00,
230,5/6/2018,Zoctr,Healthcare,Mumbai,NB Ventures and Others,Seed/ Angel Funding,0.00,
231,7/6/2018,Annapurna Finance,Finance,Bhubaneshwar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000.00,nan
232,7/6/2018,Meesho,Consumer Internet,Bengaluru,Sequoia Capital India SAIF Partners Y Combinator and Venture Highway,Private Equity,11500000.00,nan
233,10/6/2018,AyeFinance,Finance,Gurgaon,CapitalG SAIF Partners and LGT Impact Ventures,Private Equity,21500000.00,nan
234,11/6/2018,Theranosis,Healthcare,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,0.00,
235,12/6/2018,Alpha Capital,Finance,Mumbai,Alpha Capital,Private Equity,14800000.00,nan
236,12/6/2018,eshakti,Ecommerce,Chennai,Paragon Partners,Private Equity,10100000.00,nan
237,12/6/2018,Daily Ninja,Consumer Internet,Bengaluru,Saama Capital and Sequoia Capital,Seed/ Angel Funding,3000000.00,nan
238,13/06/2018,NirogStreet,Healthcare,Gurgaon,Spiral Ventures Subho Ray and Samir Kumar,Seed/ Angel Funding,300000.00,nan
239,13/06/2018,Nivesh,Finance,Noida,LetsVenture Rajan Anandan Basab Pradhan Vivek Khare and Bijoy George,Seed/ Angel Funding,450000.00,nan
240,13/06/2018,Whats Up Life,Consumer Internet,Gurgaon,Rannvijay Singha,Seed/ Angel Funding,0.00,
241,14/06/2018,HomeLane,Consumer Internet,Bengaluru,Brand Capital,Seed/ Angel Funding,3450000.00,nan
242,14/06/2018,Network Intelligence,Technology,Mumbai,Helix Investments,Private Equity,4800000.00,nan
243,18/06/2018,Tynor Othontics,Healthcare,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000.00,nan
244,18/06/2018,Elucidata,IT,New Delhi,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,1700000.00,nan
245,19/06/2018,Chrysalis,Ed-Tech,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,0.00,
246,19/06/2018,RentSher,Consumer Internet,Bengaluru,Shorooq Investments LetsVenture & Others,Seed/ Angel Funding,1100000.00,nan
247,20/06/2018,Drip capital,Finance,Mumbai,Accel Partners Sequoia India Y Combinator and others.,Private Equity,15000000.00,nan
248,22/06/2018,WickedRide,Consumer Internet,Bengaluru,Sequoia Capital Accel Partners & Raghunandan Gangappa,Private Equity,9100000.00,nan
249,25/06/2018,PolicyBazaar,Consumer Internet,Gurgaon,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000.00,nan
250,25/06/2018,HipBar,Consumer Internet,Bengaluru,Diageo India,Private Equity,4000000.00,nan
251,25/06/2018,Sqqrl,Finance,Gurgaon,Equanimity Venture Fund,Seed/ Angel Funding,1000000.00,nan
