Sr No,Date (dd/mm/yyyy),Startup Name,Industry Vertical,City  Location,Investors Name,Investment Type,  Amount in USD  ,Remarks
1005,8/2/2017,MindYourFleet,Technology,Noida,Japan Vyas Tarun Adlakha,Seed Funding,0.00,
1006,8/2/2017,Edurev,Consumer Internet,Gurgaon,Facebook FB Start programme,Seed Funding,40000.00,nan
1007,9/2/2017,Voonik,ECommerce,Bengaluru,RB Investments Sequoia Capital,Private Equity,6000000.00,nan
1008,9/2/2017,1Crowd,Fice,Mumbai,Ganesh Natarajan,Seed Funding,0.00,
1009,9/2/2017,Wooplr,ECommerce,Bengaluru,Sistema Asia Fund Amereus Group Helion Ventures,Private Equity,8000000.00,nan
1010,10/2/2017,48East,ECommerce,Bengaluru,Al Dhaheri family,Private Equity,500000.00,nan
1011,10/2/2017,Redesyn,Consumer Internet,Mumbai,ThinQbate,Seed Funding,0.00,
1012,13/02/2017,Sigtuple,Technology,Bengaluru,Accel Partners IDG Ventures Endiya Partners pi Ventures VH Capital Axilor Partners,Private Equity,5800000.00,nan
1013,13/02/2017,Flutura,Technology,Bengaluru,Vertex Ventures Lumis Partners,Private Equity,7500000.00,nan
1014,13/02/2017,Wassup,Consumer Internet,Chennai,Anil Jain & other HNIs,Private Equity,3200000.00,nan
1015,13/02/2017,Better Mortgage,Consumer Internet,Gurgaon,Kleiner Perkins Goldman Sachs Pine Brook,Private Equity,15000000.00,nan
1016,13/02/2017,Nurturey,Consumer Internet,New Delhi,Mohit Joshi & Others,Seed Funding,330000.00,nan
1017,13/02/2017,Fyle,Technology,Bengaluru,Pravega Ventures,Seed Funding,400000.00,nan
1018,14/02/2017,GoBumpr,Consumer Internet,Chennai,Mahalingam K Girish Mathrubootham,Seed Funding,300000.00,nan
1019,14/02/2017,CCAvenue,Consumer Internet,Mumbai,Infibeam,Private Equity,22400000.00,nan
1020,14/02/2017,Connaizen,Technology,New Delhi,Vikram Sud,Seed Funding,0.00,
1021,15/02/2017,Innov8,Consumer Internet,New Delhi,Vijay Shekhar Sharma Rajan Adan Kunal Shah Girish Mathrubootham Punit Soni Ad Chandrasekaran Sunil Kalra Utsav Somani Vishal Gondal Vikram Limaye,Seed Funding,0.00,
1022,15/02/2017,ZestMoney,Consumer Internet,Bengaluru,PayU Ribbit Capital Omidyar Network,Private Equity,6500000.00,nan
1024,16/02/2017,Truebil,Consumer Internet,Mumbai,Shunwei Capital,Private Equity,3000000.00,nan
1025,16/02/2017,YourStory,Consumer Internet,Bengaluru,Kalaari Capital Partners Qualcomm 3ONE4 Capital Advisors UC-RNT,Private Equity,3000000.00,nan
1026,17/02/2017,Imaginate,Technology,Hyderabad,SRI Capital,Seed Funding,500000.00,nan
1027,17/02/2017,The Ken,Consumer Internet,Bengaluru,Aprameya Radhakrishna Deepak Natraj Girish Mathrubootham Mahesh Murthy Pallav Nadhani Pavan Ongole Sandeep Mathur Vijay Shekhar Sharma & Others,Seed Funding,400000.00,nan
1028,17/02/2017,Urban Ladder,ECommerce,Bengaluru,Kalaari Capital SAIF Partners Steadview Capital Sequoia Capital,Private Equity,15200000.00,nan
1029,17/02/2017,Aisle,Consumer Internet,Bengaluru,Konglo Ventures White Unicorn Ventures LetsVenture,Seed Funding,0.00,
1030,17/02/2017,TownScript,Consumer Internet,Pune,BookMyShow,Private Equity,0.00,
1031,17/02/2017,Leopetra,eCommerce,Mumbai,Facebook FBStart,Seed Funding,40000.00,nan
1032,18/02/2017,Blood n Care,Consumer Internet,Gurgaon,Facebook FBStart,Seed Funding,40000.00,nan
1033,20/02/2017,Flipkart,eCommerce,Bengaluru,Bennett Coleman and Co. Ltd (BCCL),Private Equity,38700000.00,nan
1034,21/02/2017,True Balance,Consumer Internet,Gurgaon,Softbank Ventures Korea IMM Investment,Private Equity,15000000.00,nan
1035,22/02/2017,Vebbler,Consumer Internet,Bengaluru,Facebook FBStart,Seed Funding,40000.00,nan
1036,23/02/2017,Get My Parking,Consumer Internet,New Delhi,Indian Angel Network (IAN) BEENEXT The Chennai Angels Sunil Munjal,Private Equity,1100000.00,nan
1037,23/02/2017,Lets Reap,Consumer Internet,Mumbai,Kunal Shah Sandeep Tandon Nitin Saluja Gagan Goyal,Seed Funding,0.00,
1038,24/02/2017,Oglas,Consumer Internet,Noida,Pankaj Rungta Yogesh Agarwal,Seed Funding,0.00,
1039,27/02/2017,Staydobe,Consumer Internet,Bengaluru,Ishan Manaktala,Seed Funding,0.00,
1040,27/02/2017,Biryani By Kilo,Consumer Internet,Gurgaon,Chandigarh Angels Ashish Gupta Rohit Ashish Chand Sunil Singh & Others,Seed Funding,375000.00,nan
1041,27/02/2017,Johari Shop,ECommerce,Bengaluru,0 Investors,Seed Funding,94000.00,nan
1042,28/02/2017,NeoStencil,Consumer Internet,New Delhi,Brand Capital Paragon Trust,Private Equity,1000000.00,nan
1043,28/02/2017,Blackbuck,Logistics,Bengaluru,Sands Capital IFC Accel Partners Flipkart Sanjiv Rangrass,Private Equity,70000000.00,nan
1044,2/1/2017,TaxSutra,Consumer Internet,Pune,TV Mohandas Pai V Balakrishnan PV Srinivasan,Seed Funding,366000.00,nan
1045,3/1/2017,TempoGo,Technology,Panaji,K2 Capital,Seed Funding,825000.00,nan
1046,3/1/2017,GoFynd,ecommerce,Mumbai,Ad Chandrasekaran Rajiv Mehta Ramakant Sharma,Seed Funding,0.00,
1047,3/1/2017,Vow Car Clinic,Consumer Internet,Gurgaon,Vishal Malik,Seed Funding,0.00,
1048,4/1/2017,LearnTron,Technology,Chennai,Kae Capital,Seed Funding,0.00,
1049,5/1/2017,MobiDent,Consumer Internet,Bengaluru,DanGold Investment Corp,Private Equity,0.00,
1050,5/1/2017,Yostra,Technology,Bengaluru,Marico Innovation Foundation (MIF) Villgro,Private Equity,0.00,
1051,6/1/2017,Leap India,Logistics,Mumbai,India Nivesh Growth Fund Sixth Sense TCI Ventures,Private Equity,13000000.00,nan
1052,7/1/2017,FreeCharge,Consumer Internet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000.00,nan
1053,9/1/2017,TicketNew,Consumer Internet,Chennai,Alibaba Pictures,Private Equity,35000000.00,nan
1054,10/1/2017,Intelligence Node,Technology,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000.00,nan
1055,10/1/2017,Securens,Technology,Mumbai,Mayfield India Trifecta Capital,Private Equity,5000000.00,nan
1056,10/1/2017,Loan Frame,Consumer Internet,Gurgaon,Vedanta Capital William Campbell Toos N Daruvala,Private Equity,2250000.00,nan
1057,10/1/2017,DriveSkool,Consumer Internet,Bengaluru,Aavya Ventures,Seed Funding,0.00,
1058,10/1/2017,Medinfi,Consumer Internet,Bengaluru,Vinod Martin Evan Lim Kanchan Ghoshal Ram Kumar Kakani,Seed Funding,100000.00,nan
1059,10/1/2017,LensKart,eCommerce,Bengaluru,Ronnie Screwvala,Private Equity,3500000.00,nan
1060,11/1/2017,InstaOffice,Consumer Internet,Gurgaon,Zishaan Hayath Karan Chellani Mohit Satyan,Seed Funding,0.00,
1061,12/1/2017,Hansel.io,Consumer Internet,Bengaluru,IDG Ventures Endiya Partners,Private Equity,1350000.00,nan
1062,12/1/2017,Square Yards,Consumer Internet,Gurgaon,Lohia Group Andre Hoffman,Private Equity,10000000.00,nan
1063,13/01/2017,Roambee,Technology,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,4100000.00,nan
1064,13/01/2017,PaisaWapas,Consumer Internet,Bengaluru,Vividhity Ventures,Seed Funding,0.00,
1065,13/01/2017,iService,Consumer Internet,Bengaluru,Blume Ventures Girish Mathrubootham Aprameya Radhakrishna,Seed Funding,440000.00,nan
1066,14/01/2017,Unacademy,Consumer Internet,Bengaluru,Nexus Venture Partners Blume Ventures,Private Equity,4500000.00,nan
1067,14/01/2017,SecururAX,Technology,Bengaluru,Axilor Ventures Parampara Early Stage Opportunities Fund & Others,Private Equity,0.00,
1068,16/01/2017,Leadburg,Consumer Internet,Bengaluru,Harsh V. Pant Ratheesh Raveendran,Seed Funding,0.00,
1069,16/01/2017,ZoloStays,Consumer Internet,Bengaluru,Nexus Venture Partners Innoven Capital,Private Equity,5000000.00,nan
1070,16/01/2017,Oi Media,Technology,New Delhi,Quarizon,Seed Funding,0.00,
1071,16/01/2017,HipCouch,Consumer Internet,Mumbai,0 Investors,Seed Funding,700000.00,nan
1072,17/01/2017,Curiositi,Consumer Internet,Bengaluru,Menterra Social Impact Fund Unitus Seed Fund,Private Equity,800000.00,nan
1073,17/01/2017,TinyStep,Consumer Internet,Bengaluru,Flipkart,Private Equity,2000000.00,nan
1074,17/01/2017,Practo,Consumer Internet,Bengaluru,Tencent ru-Net RSI Fund Thrive Capital,Private Equity,55000000.00,nan
1075,17/01/2017,Ketchupp,Consumer Internet,New Delhi,India Quotient and others,Seed Funding,441000.00,nan
1076,17/01/2017,Hoopy,Consumer Internet,Gwalior,0 investors,Seed Funding,500000.00,nan
1077,17/01/2017,Ezytruk,Consumer Internet,Bengaluru,Ajith Nair Anish K,Seed Funding,147000.00,nan
1078,18/01/2017,Kratikal,Technology,New Delhi,Amajit Gupta Praveen Dubey J.P. Bhatt,Seed Funding,0.00,
1079,18/01/2017,Direct Create,eCommerce,Gurgaon,Rajasthan Venture Capital Fund,Seed Funding,0.00,
1080,18/01/2017,Vahdam Teas,eCommerce,New Delhi,Mumbai Angels Network Fireside Ventures Singapore Angel Network,Seed Funding,650000.00,nan
1081,18/01/2017,Qwikspec,Technology,Bengaluru,0 Investors,Seed Funding,300000.00,nan
1082,19/01/2017,PParke,Consumer Internet,Bengaluru,SB Ventures,Seed Funding,0.00,
1083,19/01/2017,Weddingz.in,Consumer Internet,Mumbai,Singularity Ventures,Private Equity,1000000.00,nan
1084,19/01/2017,Native Special,eCommerce,Karur,Indian Angel Network Native Angels Network,Seed Funding,0.00,
1085,19/01/2017,Fitnapp,Consumer Internet,Noida,SD Group,Private Equity,0.00,
1086,20/01/2017,Ethosh,Technology,Pune,Deepak Nathani,Seed Funding,0.00,
1087,20/01/2017,Wydr,eCommerce,Gurgaon,Bessemer Venture Partners Stellaris Venture Partners Jungle Venture Partners Axis Capital,Private Equity,0.00,
1088,20/01/2017,Tyre Express,Technology,Mumbai,IvyCamp Ventures,Seed Funding,0.00,
1089,20/01/2017,Connaizen,Technology,New Delhi,Umang Moondra,Seed Funding,0.00,
1090,22/01/2017,MessaGif,Consumer Internet,New Delhi,0 investor,Seed Funding,50000.00,nan
1091,23/01/2017,SmartHi,Technology,Pune,Singapore based investor,Seed Funding,0.00,
1092,23/01/2017,CRON Systems,Technology,New Delhi,YourNest Fund II,Seed Funding,0.00,
1093,23/01/2017,CueMath,Technology,New Delhi,CapitalG Sequoia India,Private Equity,15000000.00,nan
1094,23/01/2017,ChipperSage,Technology,Bengaluru,India Educational Investment Fund,Seed Funding,0.00,
1095,24/01/2017,SelectJobs,Consumer Internet,Mumbai,India Educational Investment Fund,Seed Funding,0.00,
1096,24/01/2017,Khel Now,Consumer Internet,Bengaluru,Indochine International,Private Equity,500000.00,nan
1097,24/01/2017,NowFloats,Consumer Internet,Hyderabad,Iron Pillar and IIFL Blume Ventures Omidyar Network,Private Equity,10000000.00,nan
1098,24/01/2017,Lets Transport,Consumer Internet,Bengaluru,GMO Japan Neelesh Bhatnagar,Private Equity,4000000.00,nan
1099,24/01/2017,BetaOut,Technology,Noida,East Ventures & Others,Private Equity,0.00,
1100,25/01/2017,Wishberry,Consumer Internet,Mumbai,Sharad Sharma Rajan Adan Amit Ranjan Alok Mittal & others,Seed Funding,0.00,
1101,25/01/2017,RML Agtech,Technology,Pune,IvyCap Ventures,Private Equity,4000000.00,nan
